### Start of file ###
# MER Results for 100Ex
#===============================================================================
Ev-mAP	Random	CNN-AVE	CNN-VLAD	Object-AVE	Object-VLAD
#===============================================================================
E021	0.549637	0.801931	0.815244	0.812975	0.819015
E022	0.549757	0.696788	0.710921	0.698599	0.725051
E023	0.754734	0.927465	0.921253	0.935141	0.934644
E024	0.185428	0.211131	0.219873	0.237700	0.243219
E025	0.252767	0.295265	0.332434	0.311122	0.336502
E026	0.876227	0.946832	0.960968	0.953652	0.965268
E027	0.906209	0.987357	0.986043	0.986347	0.985245
E028	0.944387	0.972982	0.990486	0.975229	0.994765
E029	0.661961	0.832178	0.849185	0.844117	0.84702
E030	0.953672	0.979356	0.986165	0.980551	0.988554
E031	0.847754	0.934704	0.939566	0.942982	0.958415
E032	0.651338	0.755827	0.779015	0.753274	0.791144
E033	0.946362	0.983173	0.988264	0.981953	0.990357
E034	0.888486	0.989752	0.988247	0.990862	0.993701
E035	0.896374	0.940721	0.932123	0.939484	0.945651
E036	0.727240	0.871359	0.874820	0.873038	0.887972
E037	0.898709	0.915277	0.914067	0.922351	0.942624
E038	0.596194	0.785608	0.779431	0.807919	0.802726
E039	0.916155	0.989947	0.992144	0.991449	0.994739
E040	0.872916	0.976147	0.977691	0.975104	0.98459
Mean	0.743815	0.839690	0.846897	0.845692	0.85656
